Year,Season,latitude,longitude,Hujan
1985,AMJ,-9.75,123.75,27.472527472527474
1985,AMJ,-9.75,124.0,36.26373626373626
1985,AMJ,-9.75,124.25,61.53846153846154
1985,AMJ,-9.75,124.5,68.13186813186813
1985,AMJ,-9.75,124.75,78.02197802197803
1985,AMJ,-9.75,125.0,78.02197802197803
1985,AMJ,-9.75,125.25,84.61538461538461
1985,AMJ,-9.75,125.5,78.02197802197803
1985,AMJ,-9.5,118.0,72.52747252747253
1985,AMJ,-9.5,118.25,70.32967032967034
1985,AMJ,-9.5,118.5,57.14285714285714
1985,AMJ,-9.5,118.75,40.65934065934066
1985,AMJ,-9.5,119.0,39.56043956043956
1985,AMJ,-9.5,119.25,36.26373626373626
1985,AMJ,-9.5,119.5,47.25274725274725
1985,AMJ,-9.5,119.75,51.64835164835166
1985,AMJ,-9.5,120.0,64.83516483516483
1985,AMJ,-9.5,120.25,73.62637362637363
1985,AMJ,-9.5,120.5,83.51648351648352
1985,AMJ,-9.5,120.75,84.61538461538461
1985,AMJ,-9.5,121.0,83.51648351648352
1985,AMJ,-9.5,121.25,83.51648351648352
1985,AMJ,-9.5,121.5,81.31868131868131
1985,AMJ,-9.5,121.75,79.12087912087912
1985,AMJ,-9.5,122.0,68.13186813186813
1985,AMJ,-9.5,122.25,63.73626373626373
1985,AMJ,-9.5,122.5,63.73626373626373
1985,AMJ,-9.5,122.75,54.94505494505495
1985,AMJ,-9.5,123.0,58.24175824175825
1985,AMJ,-9.5,123.25,47.25274725274725
1985,AMJ,-9.5,123.5,38.46153846153847
1985,AMJ,-9.5,123.75,43.956043956043956
1985,AMJ,-9.5,124.0,40.65934065934066
1985,AMJ,-9.5,124.25,42.857142857142854
1985,AMJ,-9.5,124.5,68.13186813186813
1985,AMJ,-9.5,124.75,82.41758241758241
1985,AMJ,-9.5,125.0,85.71428571428571
1985,AMJ,-9.5,125.25,84.61538461538461
1985,AMJ,-9.5,125.5,89.01098901098901
1985,AMJ,-9.25,118.0,80.21978021978022
1985,AMJ,-9.25,118.25,65.93406593406593
1985,AMJ,-9.25,118.5,62.637362637362635
1985,AMJ,-9.25,118.75,56.043956043956044
1985,AMJ,-9.25,119.0,47.25274725274725
1985,AMJ,-9.25,119.25,48.35164835164835
1985,AMJ,-9.25,119.5,54.94505494505495
1985,AMJ,-9.25,119.75,64.83516483516483
1985,AMJ,-9.25,120.0,80.21978021978022
1985,AMJ,-9.25,120.25,92.3076923076923
1985,AMJ,-9.25,120.5,91.20879120879121
1985,AMJ,-9.25,120.75,89.01098901098901
1985,AMJ,-9.25,121.0,87.91208791208791
1985,AMJ,-9.25,121.25,86.81318681318682
1985,AMJ,-9.25,121.5,85.71428571428571
1985,AMJ,-9.25,121.75,84.61538461538461
1985,AMJ,-9.25,122.0,82.41758241758241
